out_channels,stride,selected_method,geo_mean_ms
1,1,register_block2,0.01612696245431237
1,2,direct_baseline,0.012025874849268705
1,3,direct_baseline,0.010452964033560922
16,1,cross_channel4,0.08922343559300971
16,2,cross_channel4,0.03513515980793328
16,3,cross_channel4,0.026104696226632872
64,1,cross_channel4,0.3177260009796244
64,2,cross_channel4,0.09667102775499846
64,3,cross_channel4,0.06601421175543742
128,1,tensor_core_tf32,0.2800227330004897
128,2,cross_channel4,0.16945022596818318
128,3,tensor_core_tf32,0.09703553912755858
