impl,schedule,M,N,threads,chunk,iterations,diff,time_sec,checksum,repeat
openmp,static,500,500,1,8,16966,0.000999992,2.525991,21490.633363,0
openmp,static,500,500,2,8,16966,0.000999992,1.573235,21490.633363,0
openmp,static,500,500,4,8,16966,0.000999992,0.786515,21490.633363,0
openmp,static,500,500,8,8,16966,0.000999992,0.595842,21490.633363,0
openmp,static,500,500,16,8,16966,0.000999992,0.389290,21490.633363,0
openmp,static,500,500,32,8,16966,0.000999992,18.769889,21490.633363,0
openmp,dynamic,500,500,1,8,16966,0.000999992,2.551421,21490.633363,0
openmp,dynamic,500,500,2,8,16966,0.000999992,1.876086,21490.633363,0
openmp,dynamic,500,500,4,8,16966,0.000999992,1.123688,21490.633363,0
openmp,dynamic,500,500,8,8,16966,0.000999992,0.453578,21490.633363,0
openmp,dynamic,500,500,16,8,16966,0.000999992,1.002696,21490.633363,0
openmp,dynamic,500,500,32,8,16966,0.000999992,23.940568,21490.633363,0
openmp,guided,500,500,1,8,16966,0.000999992,2.545296,21490.633363,0
openmp,guided,500,500,2,8,16966,0.000999992,1.486763,21490.633363,0
openmp,guided,500,500,4,8,16966,0.000999992,0.902273,21490.633363,0
openmp,guided,500,500,8,8,16966,0.000999992,0.769955,21490.633363,0
openmp,guided,500,500,16,8,16966,0.000999992,0.766845,21490.633363,0
openmp,guided,500,500,32,8,16966,0.000999992,23.985089,21490.633363,0
pthread,static,500,500,1,8,16966,0.000999992,2.620641,21490.633363,0
pthread,static,500,500,2,8,16966,0.000999992,1.400982,21490.633363,0
pthread,static,500,500,4,8,16966,0.000999992,0.952069,21490.633363,0
pthread,static,500,500,8,8,16966,0.000999992,0.729026,21490.633363,0
pthread,static,500,500,16,8,16966,0.000999992,1.005676,21490.633363,0
pthread,static,500,500,32,8,16966,0.000999992,1.971765,21490.633363,0
pthread,dynamic,500,500,1,8,16966,0.000999992,2.700206,21490.633363,0
pthread,dynamic,500,500,2,8,16966,0.000999992,1.477658,21490.633363,0
pthread,dynamic,500,500,4,8,16966,0.000999992,0.890842,21490.633363,0
pthread,dynamic,500,500,8,8,16966,0.000999992,0.623317,21490.633363,0
pthread,dynamic,500,500,16,8,16966,0.000999992,0.843159,21490.633363,0
pthread,dynamic,500,500,32,8,16966,0.000999992,2.712072,21490.633363,0
pthread,guided,500,500,1,8,16966,0.000999992,2.614154,21490.633363,0
pthread,guided,500,500,2,8,16966,0.000999992,1.381098,21490.633363,0
pthread,guided,500,500,4,8,16966,0.000999992,0.827370,21490.633363,0
pthread,guided,500,500,8,8,16966,0.000999992,0.616517,21490.633363,0
pthread,guided,500,500,16,8,16966,0.000999992,0.787573,21490.633363,0
pthread,guided,500,500,32,8,16966,0.000999992,2.590769,21490.633363,0
