N,nits,error,time_sec,time_per_call,mflops
2,10000,7.85908e-17,0.000107,5.35e-09,1869.16
4,10000,1.20984e-16,0.000313,1.565e-08,2555.91
8,10000,6.60563e-17,0.000481,2.405e-08,4989.6
16,10000,1.2016e-16,0.000891,4.455e-08,7182.94
32,1000,1.30634e-16,0.000149,7.45e-08,10738.3
64,1000,1.74583e-16,0.000332,1.66e-07,11566.3
128,1000,1.88375e-16,0.000604,3.02e-07,14834.4
256,1000,1.99813e-16,0.001458,7.29e-07,14046.6
512,100,1.833e-16,0.000306,1.53e-06,15058.8
1024,100,2.22942e-16,0.000701,3.505e-06,14607.7
2048,100,2.4668e-16,0.001633,8.165e-06,13795.5
4096,100,2.40819e-16,0.003719,1.8595e-05,13216.5
8192,10,2.57341e-16,0.000747,3.735e-05,14256.5
16384,10,2.67926e-16,0.001572,7.86e-05,14591.3
32768,10,2.88677e-16,0.0033,0.000165,14894.5
65536,10,2.8027e-16,0.007622,0.0003811,13757.2
131072,1,3.10361e-16,0.001531,0.0007655,14554
262144,1,3.20976e-16,0.003393,0.0016965,13906.8
524288,1,3.257e-16,0.006159,0.0030795,16173.8
1048576,1,3.20113e-16,0.014667,0.0073335,14298.4
