variant,n,tile,block_rows,threads_per_block,repeat,time_ms,bandwidth_gbs
naive_write_strided,4096,32,8,256,2532,0.155636,862.384
naive_write_strided,4096,32,16,512,2525,0.157683,851.185
naive_write_strided,4096,64,8,512,2573,0.153740,873.015
naive_write_strided,4096,64,16,1024,2562,0.155810,861.417
naive_read_strided,4096,32,8,256,3928,0.100921,1329.924
naive_read_strided,4096,32,16,512,4245,0.094262,1423.884
naive_read_strided,4096,64,8,512,3891,0.102571,1308.539
naive_read_strided,4096,64,16,1024,3244,0.122850,1092.538
tiled_pad,4096,32,8,256,5484,0.076555,1753.219
tiled_pad,4096,32,16,512,5155,0.077756,1726.133
tiled_pad,4096,64,8,512,5349,0.073497,1826.176
tiled_pad,4096,64,16,1024,5251,0.076480,1754.940
naive_write_strided,8192,32,8,256,633,0.632283,849.099
naive_write_strided,8192,32,16,512,622,0.643467,834.341
naive_write_strided,8192,64,8,512,634,0.631119,850.665
naive_write_strided,8192,64,16,1024,628,0.636469,843.514
naive_read_strided,8192,32,8,256,657,0.604564,888.030
naive_read_strided,8192,32,16,512,961,0.415748,1291.338
naive_read_strided,8192,64,8,512,658,0.608754,881.918
naive_read_strided,8192,64,16,1024,824,0.486157,1104.315
tiled_pad,8192,32,8,256,1088,0.368106,1458.470
tiled_pad,8192,32,16,512,1084,0.369776,1451.883
tiled_pad,8192,64,8,512,1116,0.359163,1494.785
tiled_pad,8192,64,16,1024,1128,0.354824,1513.064
naive_write_strided,12288,32,8,256,245,1.634948,738.836
naive_write_strided,12288,32,16,512,243,1.648569,732.732
naive_write_strided,12288,64,8,512,246,1.627473,742.230
naive_write_strided,12288,64,16,1024,245,1.633113,739.667
naive_read_strided,12288,32,8,256,222,1.804805,669.302
naive_read_strided,12288,32,16,512,348,1.149523,1050.836
naive_read_strided,12288,64,8,512,218,1.836400,657.787
naive_read_strided,12288,64,16,1024,327,1.223102,987.619
tiled_pad,12288,32,8,256,475,0.843052,1432.840
tiled_pad,12288,32,16,512,474,0.842222,1434.253
tiled_pad,12288,64,8,512,493,0.809397,1492.420
tiled_pad,12288,64,16,1024,497,0.805294,1500.024
naive_write_strided,16384,32,8,256,160,2.503226,857.887
naive_write_strided,16384,32,16,512,157,2.550742,841.906
naive_write_strided,16384,64,8,512,162,2.482356,865.099
naive_write_strided,16384,64,16,1024,159,2.519958,852.190
naive_read_strided,16384,32,8,256,156,2.571064,835.251
naive_read_strided,16384,32,16,512,240,1.678360,1279.513
naive_read_strided,16384,64,8,512,156,2.577606,833.131
naive_read_strided,16384,64,16,1024,208,1.928248,1113.697
tiled_pad,16384,32,8,256,266,1.494653,1436.777
tiled_pad,16384,32,16,512,264,1.514017,1418.401
tiled_pad,16384,64,8,512,280,1.435639,1495.838
tiled_pad,16384,64,16,1024,281,1.428336,1503.486
naive_write_strided,24576,32,8,256,61,6.610751,730.906
naive_write_strided,24576,32,16,512,60,6.684759,722.814
naive_write_strided,24576,64,8,512,61,6.558114,736.773
naive_write_strided,24576,64,16,1024,61,6.616533,730.267
naive_read_strided,24576,32,8,256,58,6.904983,699.761
naive_read_strided,24576,32,16,512,93,4.338261,1113.773
naive_read_strided,24576,64,8,512,58,6.944193,695.810
naive_read_strided,24576,64,16,1024,85,4.752014,1016.798
tiled_pad,24576,32,8,256,115,3.495094,1382.463
tiled_pad,24576,32,16,512,116,3.475881,1390.104
tiled_pad,24576,64,8,512,122,3.296217,1465.874
tiled_pad,24576,64,16,1024,124,3.235617,1493.328
naive_write_strided,32768,32,8,256,40,10.006224,858.459
naive_write_strided,32768,32,16,512,40,10.033792,856.100
naive_write_strided,32768,64,8,512,41,9.990821,859.783
naive_write_strided,32768,64,16,1024,41,9.935808,864.543
naive_read_strided,32768,32,8,256,39,10.363942,828.829
naive_read_strided,32768,32,16,512,60,6.722545,1277.780
naive_read_strided,32768,64,8,512,39,10.384245,827.208
naive_read_strided,32768,64,16,1024,52,7.796796,1101.726
tiled_pad,32768,32,8,256,66,6.140455,1398.908
tiled_pad,32768,32,16,512,66,6.107450,1406.468
tiled_pad,32768,64,8,512,70,5.763632,1490.368
tiled_pad,32768,64,16,1024,70,5.724144,1500.650
